STT;Dia;GDCD;Hoa;Li;Ma_mon_ngoai_ngu;Ngoai_ngu;Sinh;Su;Toan;Van;sbd;diem to hop;Diem trung binh;Diem xet tot nghiep;Dieu kien tot nghiep
1034;5.5;8.5;;;N1;7;;3.5;8;7.25;51001037;5.8;7.5;7.8;Dat
1035;7.25;7.75;;;N1;6.6;;8;5.2;7.5;51001039;7.7;7.8;7.7;Dat
1036;;;4;7;N1;8;3.5;;7;4.5;51001034;4.8;6;6.7;Dat
1037;;;7.5;4;N1;9.4;3.75;;7.6;5.75;51001042;5.1;6;7.3;Dat
1038;;;6;4;N1;4.8;6.5;;7.4;5.75;51001041;5.5;9.4;7.5;Dat
1039;;;;;N1;6.4;6.5;;4.4;;51001047;2.2;6.6;4.9;Khong Dat
1042;;;7.25;5.75;N1;7.4;8.25;;8.2;6.75;51001043;7.1;10;8.8;Dat
1043;6.5;8.5;;;N1;5.4;;4.5;4.4;5.5;51001045;6.5;9.6;7.3;Dat
1044;;;5.5;7.5;N1;6.6;3.75;;6.8;5.5;51001050;5.6;6.4;6.8;Dat
1045;6.5;7.75;;;N1;2.6;;4.5;2;5.25;51001048;6.3;7.6;5.7;Dat
1046;6.5;6;;;N1;1.6;;4.25;3.2;3.75;51001046;5.6;8.9;5.7;Dat
1047;;;6.75;5.25;N1;6;5.5;;7.2;5.5;51001053;5.8;6.5;6.8;Dat
1048;;;7.75;7.5;N1;6.6;5.75;;8.2;6.75;51001051;7;9.9;8.6;Dat
1049;7.75;9;;;N1;4;;5.25;5;4.75;51001059;7.3;7.5;6.5;Dat
1050;;;;7.5;N1;8.4;;;8.6;;51001055;2.5;7.3;6.2;Dat
1051;5.75;6.75;;;N1;8.4;;4;6.8;7.25;51001052;5.5;10;8.5;Dat
1052;;;6.5;6.5;N1;6.8;8;;7.4;6.75;51001054;7;8;7.9;Dat
1053;;;7.75;5.5;N1;7.4;9;;9.6;7.5;51001066;7.4;9.2;8.9;Dat
1054;;;6.5;5.5;N1;6.6;4.25;;7;4.5;51001058;5.4;9;7.4;Dat
1055;;;6.25;3.5;N1;3.8;6.75;;7.8;6.25;51001056;5.5;7.1;6.8;Dat
1056;;;5.75;7.5;N1;6.8;6;;8;6.5;51001060;6.4;6.3;7.3;Dat
1057;;;5.5;7.75;N1;8;5.75;;7.2;7;51001064;6.3;7.8;7.9;Dat
1058;9.25;8.75;;;N1;4.4;;9.5;5;8;51001062;9.2;6;7.1;Dat
1059;;;6;8.25;N1;9;4.25;;7.6;5.5;51001069;6.2;7.2;7.7;Dat
1061;3.75;6.25;;;N1;6.4;;6;6;6.25;51001057;5.3;9.9;7.8;Dat
1062;;;3.75;7.75;N1;8.8;4.75;;8;6.75;51001070;5.4;9.2;8.4;Dat
1063;8.25;7.5;;;N1;8.8;;5.75;7.2;8.75;51001065;7.2;7.1;8.3;Dat
1064;;;7;3.5;N1;5;6.75;;8;7.75;51001072;5.8;8;7.6;Dat
1065;;;4;5;N1;4.4;4.75;;5.8;6.25;51001061;4.6;6.1;6.1;Dat
1066;;;3.25;4.5;N1;8.8;4.5;;7.4;4.5;51001067;4.1;9.8;7.9;Dat
1067;;;5;8;N1;9.6;6;;9.4;7.25;51001071;6.3;8.4;8.8;Dat
1068;8;7.5;;;N1;4;;5.75;3.6;6.5;51001068;7.1;6.9;6.4;Dat
1069;;;6.25;6.75;N1;9.4;5.5;;8;5;51001073;6.2;6.4;7.5;Dat
1071;7.25;6.5;;;N1;8;;5.75;6.6;7;51001074;6.5;9.1;8.2;Dat
1072;6.75;8.75;;;N1;3.6;;3.5;5.2;6.5;51001078;6.3;9.2;7.1;Dat
1073;6.25;6;;;N1;8.6;;3.25;7;8;51001079;5.2;8.6;8.2;Dat
1074;;;;;N1;2.8;;;2.8;3.25;51001083;0;7.3;4.3;Khong Dat
1075;;;6;5.25;N1;8.4;4.5;;6;5;51001075;5.3;7.6;7.2;Dat
1077;3.25;5.25;;;N1;3;;4;2.4;4.25;51001081;4.2;8.3;5.5;Dat
1078;;;3.5;3;N1;5.2;;;2.6;;51001077;2.2;8.5;4.9;Khong Dat
1079;7;7.25;;;N1;4.2;;4.75;6.4;8.25;51001084;6.3;7.5;7.3;Dat
1081;6.5;8.75;;;N1;3.4;;6.75;5.2;7.5;51001085;7.3;7.5;6.9;Dat
1084;5.75;6.75;;;N1;7.6;;3.5;7.8;8.5;51001089;5.3;9.3;8.5;Dat
1085;;;7.5;4.5;N1;6.2;8;;7.2;6.25;51001091;6.7;8.3;7.7;Dat
1086;;;7;6;N1;5;6.25;;8;7;51001093;6.4;9.9;8.2;Dat
1087;5.75;7;;;N1;6.8;;5.25;5.4;8.25;51001087;6;9;7.9;Dat
1089;;;5.25;7.75;N1;5.4;4.25;;7.4;6.75;51001090;5.8;8.5;7.6;Dat
1090;6.5;7.25;;;N1;2.8;;5.25;4.6;6.5;51001095;6.3;8.5;6.7;Dat
1091;5.75;7;;;N1;2.6;;2.5;2.4;6;51001096;5.1;8.7;6;Dat
1092;6.5;7;;;N1;9.6;;4;7.6;7;51001092;5.8;10;8.9;Dat
1093;;;7.5;4.75;N1;5.2;9.25;;7.6;4.75;51001098;7.2;9.7;7.8;Dat
1094;;;7;4.25;N1;6.6;8;;8;6;51001099;6.4;9.8;8.3;Dat
1095;5.25;7.25;;;N1;5.2;;2.5;5;5.75;51001097;5;9.8;7.2;Dat
1096;;;7;7.75;N1;9.6;6;;8.4;8.25;51001100;6.9;8.1;8.8;Dat
1097;7.5;7.75;;;N1;9;;6;8.2;8.75;51001102;7.1;6;8.2;Dat
1098;7.25;7.75;;;N1;6.2;;4;6.2;7.75;51001101;6.3;6.6;7.2;Dat
1099;;;7.25;7;N1;7.2;4;;7.8;6;51001104;6.1;6.9;7.4;Dat
1101;7.25;8.5;;;N1;8.8;;6.5;7.4;8.5;51001103;7.4;6.7;8.2;Dat
1102;;;5.75;5.75;N1;4.8;4.25;;6.8;6;51001105;5.3;8;7;Dat
1103;;;6.25;3.75;N1;5.8;6.25;;7.4;6;51001107;5.4;8.3;7.4;Dat
1105;8.25;7.5;;;N1;4;;8.25;5.4;7.25;51001112;8;10;7.9;Dat
1107;4.75;6.75;;;N1;5.4;;3.5;3.8;4.25;51001110;5;9.2;6.6;Dat
1108;;;;;N1;6.4;;;7.2;7.75;51001111;0;9.5;7.2;Dat
1109;;;7.5;2.75;N1;6.4;8;;8;5.75;51001114;6.1;9.4;8;Dat
1110;;;7.75;4.5;N1;8;7.5;;8.8;7;51001117;6.6;6.7;7.9;Dat
1111;;;5;5.25;N1;4.6;5.25;;7;5.5;51001113;5.2;6.6;6.5;Dat
1112;;;7.25;8.25;N1;6.4;5.25;;9.4;6;51001115;6.9;9.7;8.5;Dat
1113;6.75;8;;;N1;5;;5.75;5.6;6.25;51001119;6.8;8.8;7.4;Dat
1114;;;4.75;6;N1;9.8;5.5;;6;6.5;51001122;5.4;6.6;7.4;Dat
1115;;;7;4.75;N1;3.2;7;;6.8;7;51001116;6.3;6.7;6.7;Dat
1116;;;4;6.75;N1;5.6;4.75;;7;6.25;51001123;5.2;6.9;6.9;Dat
1117;6.5;7;;;N1;3;;5.75;3.8;6.5;51001120;6.4;8.7;6.7;Dat
1118;;;6;6.25;N1;8.8;5.25;;7.6;6.25;51001118;5.8;7.8;7.9;Dat
1120;;;7;7;N1;5.8;5.25;;8;6.75;51001124;6.4;6;7.1;Dat
1121;6.75;9.5;;;N1;4.8;;4.25;4.2;6.25;51001121;6.8;7.9;6.8;Dat
1122;;;6;7;N1;6;4.25;;7.8;7.5;51001126;5.8;9.8;8.3;Dat
1123;7.25;7.5;;;N1;9.2;;7.5;7.2;7;51001130;7.4;9.6;8.9;Dat
1124;;;;2;N1;4;;;3.8;;51001129;0.7;8.9;4.8;Khong Dat
1125;7.5;9.25;;;N1;5.8;;5.75;5.2;6.75;51001127;7.5;6.6;7;Dat
1127;6.75;7.5;;;N1;7;;9.5;8.2;8.5;51001138;7.9;9.2;8.9;Dat
1128;7.75;6.5;;;N1;5;;5.75;6;8;51001134;6.7;10;8.1;Dat
1129;;;4.75;7.75;N1;9.2;5.75;;8.6;5.75;51001137;6.1;9.4;8.6;Dat
1131;7;7.5;;;N1;6.8;;8;4.4;7.5;51001132;7.5;7.7;7.5;Dat
1132;9;7.5;;;N1;5.2;;6.5;4.2;8;51001128;7.7;7.3;7.2;Dat
1134;;;8;3.25;N1;9.2;6.75;;7.4;7;51001140;6;6.4;7.7;Dat
1135;;;7.25;4.25;N1;6.2;7.75;;8.4;6.75;51001136;6.4;6.3;7.3;Dat
1136;7.75;7;;;N1;7.2;;6.25;7.6;6.75;51001139;7;7;7.7;Dat
1137;;;4.5;5.75;N1;9.2;5;;8.6;8.25;51001141;5.1;7.4;8.3;Dat
1138;;;6.75;4;N1;7.6;7.25;;8;5.25;51001146;6;7.8;7.6;Dat
1139;7;7.5;;;N1;3.6;;3.25;4.4;4;51001142;5.9;6.8;5.8;Dat
1140;6.5;6.75;;;N1;3.4;;5.75;4.8;6.17;51001145;6.3;8.6;6.8;Dat
1141;;;5.5;8.5;N1;9.6;5.5;;8.4;3.75;51001147;6.5;6.5;7.5;Dat
1142;;;7;7.75;N1;7.4;4.75;;7.4;6.17;51001144;6.5;6.9;7.5;Dat
1143;;;8.75;9;N1;5.2;3.5;;8.2;6.75;51001148;7.1;6.8;7.4;Dat
1144;7.5;8.25;;;N1;6;;8.75;7.8;8.5;51001150;8.2;8.8;8.6;Dat
1146;;;6.25;8.75;N1;4;4.5;;7.2;6;51001143;6.5;6.3;6.6;Dat
1147;;;6.5;8.5;N1;5.6;4.5;;8;7;51001152;6.5;9.8;8.3;Dat
1148;;;8;3.5;N1;7;8.5;;8.8;6.5;51001153;6.7;6.5;7.6;Dat
1149;;;6.25;5.25;N1;7.6;6.5;;7.4;7.75;51001154;6;7;7.7;Dat
1150;;;7.25;4;N1;4.8;8;;8;5.75;51001151;6.4;7.8;7.3;Dat
1151;;;6.75;7.75;N1;6.8;4.75;;8;7.75;51001156;6.4;7.9;8;Dat
1152;7.75;9;;;N1;4.6;;4.25;3.2;6.5;51001158;7;6.7;6.3;Dat
1153;5.25;7;;;N1;4.2;;4.25;3.8;6.25;51001155;5.5;6.2;5.9;Dat
1154;5.75;8.5;;;N1;3.8;;4.5;3.4;6;51001160;6.3;8.5;6.6;Dat
1156;;;;;N1;7.6;;;8.2;8.5;51001161;0;8.6;7.4;Dat
1157;;;4.75;5.25;N1;7.4;8.25;;8;6.5;51001165;6.1;9.3;8.3;Dat
1158;;;4.75;8.5;N1;9;6;;8.8;8;51001166;6.4;7.6;8.5;Dat
1159;;;6.25;5.5;N1;5.2;3.25;;7;6.25;51001164;5;6.5;6.7;Dat
1160;5.5;7.75;;;N1;1.4;;4.75;3.2;6;51001163;6;7;5.6;Dat
1162;;;4.5;5.25;N1;8.6;5.25;;7.6;9;51001162;5;7.3;8.1;Dat
1168;;;;8.75;N1;8.8;;;8;;51001175;2.9;6;5.8;Dat
1169;;;6.5;3.75;N1;4.6;6;;7.8;4.25;51001169;5.4;9.5;7.3;Dat
1171;;;;5;N1;6.2;;;5.4;;51001179;1.7;6.1;4.8;Khong Dat
1173;;;;;N1;8.2;;;6.8;6.75;51001178;0;9.9;7.4;Dat
1174;;;8;6.75;N1;9;8.75;;9.4;6.75;51001185;7.8;7.8;8.7;Dat
1177;;;8.25;6.25;N1;9;9.5;;9;7.5;51001177;8;8.5;9;Dat
1178;;;7;5.5;N1;7.2;7.75;;8.4;7.25;51001180;6.8;8.7;8.4;Dat
1179;;;2.75;6.5;N1;7.6;4;;6.8;8.5;51001184;4.4;6.1;7.2;Dat
1181;;;3.25;7.5;N1;7.8;4;;8;6;51001186;4.9;9.7;8.2;Dat
1182;5.75;6.75;;;N1;3.4;;4;3.4;4.75;51001188;5.5;8.4;6.1;Dat
1184;6.5;8.75;;;N1;3.4;;4.25;5;3.75;51001190;6.5;6.8;5.9;Dat
1185;;;6;5.5;N1;9.4;4.5;;7.2;7.5;51001189;5.3;7.7;8.1;Dat
1186;5.25;7.75;;;N1;4.8;;4;4;6;51001192;5.7;6.2;6;Dat
1187;5.25;8.25;;;N1;2.4;;2.75;3.8;5.75;51001191;5.4;6.4;5.6;Dat
1188;6.75;8.5;;;N1;5.6;;5.75;5.4;5;51001193;7;7.3;6.8;Dat
1189;;;7.25;8.5;N1;3.8;5.25;;8.4;4.5;51001195;7;9.7;7.7;Dat
1191;;;6.75;7.75;N1;4.2;5.25;;7.8;6.5;51001197;6.6;9.6;7.9;Dat
1194;;;4.75;7.5;N1;8.6;5.5;;8.8;8.25;51001203;5.9;7.5;8.4;Dat
1196;;;7.75;7.25;N1;6.2;6;;8.8;7.5;51001200;7;8.9;8.4;Dat
1197;4.75;6;;;N1;7.4;;2.5;7;7;51001205;4.4;7.8;7.5;Dat
1198;;;5;6.25;N1;3.8;4.25;;5.6;6.5;51001208;5.2;7.6;6.6;Dat
1199;;;2.75;6.5;N1;6.8;5.75;;8.4;5.25;51001202;5;6.3;6.9;Dat
1202;5;6.75;;;N1;9;;1.75;7.4;8.25;51001210;4.5;8.4;8.2;Dat
1204;5.75;6;;;N1;7.2;;3.75;6.8;8;51001209;5.2;7;7.5;Dat
1207;7.75;8.25;;;N1;4.4;;6.25;5.4;7.75;51001211;7.4;7.1;7.1;Dat
1208;;;7.75;8;N1;8;5.5;;9;7;51001212;7.1;7.7;8.4;Dat
1209;;;5;7.75;N1;8.2;4.75;;9;8.25;51001215;5.8;9.4;8.9;Dat
1210;;;8.5;5;N1;5.6;10;;8.2;6;51001216;7.8;9.5;8.3;Dat
1212;;;8;9.25;N1;7.2;7;;8.6;7;51001219;8.1;6.8;8;Dat
1214;;;5;7.75;N1;9;4.5;;7.6;6;51001221;5.8;8.2;8;Dat
1215;;;5.5;6.25;N1;8.4;4;;7.2;6.25;51001222;5.3;7.6;7.6;Dat
1216;;;8.5;3.25;N1;6.8;8.75;;9;6.75;51001223;6.8;9.8;8.7;Dat
1218;;;6;6.25;N1;5;4.75;;7.8;7.75;51001226;5.7;6.8;7.2;Dat
1220;;;5.75;8.25;N1;8.6;6;;9;8.25;51001218;6.7;8.1;8.7;Dat
1221;;;7.25;7.25;N1;7.6;4.75;;8;7.08;51001231;6.4;8.7;8.3;Dat
1222;5.25;7;;;N1;4.8;;3.5;5;6;51001227;5.3;6.2;6.2;Dat
1223;;;;;N1;6.4;;;7.8;6.67;51001228;0;8;6.7;Dat
1224;7.5;8;;;N1;6.6;;6;7.2;7.5;51001230;7.2;8.3;8.1;Dat
1225;;;6.75;8;N1;6.8;6.75;;6.6;5.75;51001229;7.2;7.7;7.5;Dat
1226;;;3.5;7;N1;7.8;4.5;;7.4;5.25;51001232;5;9.2;7.8;Dat
1227;;;4.25;6;N1;7.4;5.5;;7.4;6.25;51001233;5.3;7.1;7.3;Dat
1230;6.75;6.25;;;N1;4.2;;4;4.4;5.75;51001238;5.7;8.3;6.6;Dat
1231;6.25;7;;;N1;3.4;;5.25;4;6;51001236;6.2;9.2;6.8;Dat
1232;;;6.25;6.5;N1;7;8.25;;8;6.75;51001237;7;8;8;Dat
1233;;;4.25;5.75;N1;7.8;5.25;;7;7.25;51001240;5.1;7.7;7.7;Dat
1234;7.75;9;;;N1;9.2;;6.75;8.4;8;51001242;7.8;8.3;8.9;Dat
1235;;;3.5;5.75;N1;7.8;4.75;;7.6;6.5;51001243;4.7;6.1;7.1;Dat
1236;;;8.25;4.25;N1;7;8.5;;8.8;6.5;51001239;7;9.9;8.7;Dat
1237;;;4.25;7;N1;8.6;4.75;;7.6;5.75;51001241;5.3;9.5;8.2;Dat
1238;;;7.5;8;N1;7.8;5.5;;7.6;4.75;51001251;7;6.6;7.3;Dat
1240;;;2.75;4;N1;5.6;4.5;;6.6;6;51001246;3.8;8.1;6.9;Dat
1241;;;7.5;7.25;N1;5.2;4;;8;6.5;51001252;6.3;8.2;7.6;Dat
1244;;;5.5;7.5;N1;9.4;5.5;;8.2;8;51001253;6.2;8.9;8.8;Dat
1246;;;3.25;7.5;N1;8.6;5;;7.2;6.5;51001249;5.3;9.2;8.2;Dat
1247;;;3.5;6;N1;8.8;3.75;;6.8;5.75;51001248;4.4;7.2;7.3;Dat
1248;;;3.75;7.75;N1;9.2;5;;8.4;7;51001255;5.5;9.4;8.7;Dat
1249;;;6.5;4.75;N1;5.8;7.25;;7.2;6.25;51001260;6.2;6.2;6.9;Dat
1250;;;8.5;6;N1;7.8;8.25;;8.4;7;51001254;7.6;9.3;8.8;Dat
1251;4.25;6.25;;;N1;4.4;;3.25;4.2;4.25;51001257;4.6;9.4;6.5;Dat
1252;;;6.5;3.5;N1;6.6;7;;7.4;5.75;51001256;5.7;8.1;7.5;Dat
1253;;;4.25;8;N1;8;5.75;;8.2;7.42;51001258;6;8.9;8.5;Dat
1255;;;8.25;6.25;N1;7.4;9;;8;5.75;51001261;7.8;6.2;7.5;Dat
1256;;;4.75;5;N1;5.8;3;;8.2;7.25;51001259;4.3;7.7;7.4;Dat
1258;7;7.5;;;N1;4.4;;5.25;4.2;6.75;51001264;6.6;7.2;6.6;Dat
1259;;;5;8.5;N1;9.4;6;;8.6;6.5;51001265;6.5;6.5;8;Dat
1260;;;5.5;3.25;N1;5;4.5;;7.4;8;51001266;4.4;6.6;6.9;Dat
1261;6.5;9.25;;;N1;4.6;;4.25;4.6;5.5;51001267;6.7;8.8;7;Dat
1262;;;4;4.25;N1;7;5.75;;6.2;5;51001272;4.7;9.4;7.4;Dat
1263;;;4.75;4.5;N1;4.8;4;;6.6;6.33;51001268;4.4;6.8;6.5;Dat
1267;;;4.75;5.25;N1;4.8;5.25;;5.4;6;51001270;5.1;9.1;7.1;Dat
1269;7.25;9;;;N1;4.4;;4.5;4.4;6.5;51001273;6.9;7.4;6.7;Dat
1273;;;3;5;N1;9.4;5;;8.2;5;51001288;4.3;7.1;7.4;Dat
1274;7;8;;;N1;9.6;;5.75;7.6;7.5;51001286;6.9;6.1;8;Dat
1276;;;3.5;7;N1;6.4;5.5;;8.2;5;51001279;5.3;9.5;7.8;Dat
1277;6.5;7.5;;;N1;6.2;;6.25;6.8;7.25;51001283;6.8;7.3;7.5;Dat
1280;;;4.75;3.5;N1;3.6;3.5;;4.8;6.25;51001285;3.9;8.4;6.4;Dat
1282;6.25;8.5;;;N1;3.4;;4;4.6;6;51001287;6.3;6.8;6.2;Dat
1283;;;5;8.5;N1;9;5.5;;8.6;6.25;51001293;6.3;6.4;7.8;Dat
1285;6.25;8;;;N1;4.6;;5;5.2;6;51001294;6.4;9.9;7.5;Dat
1287;8;7.5;;;N1;8.2;;7;7.8;7.5;51001297;7.5;7.3;8.2;Dat
1290;;;6.5;3.75;N1;5.4;7;;7.8;5.5;51001296;5.8;9.7;7.8;Dat
1291;;;7.5;3.25;N1;5.6;6.5;;8;5;51001300;5.8;9.7;7.8;Dat
1292;;;7.25;5.75;N1;8.2;8.5;;9.2;6.5;51001298;7.2;6.9;8.1;Dat
1293;6.5;8.75;;;N1;7;;3.5;6.8;7.5;51001299;6.3;9.9;8.4;Dat
1294;;;9.75;5.25;N1;9;9;;9.2;7;51001301;8;9.6;9.3;Dat
1295;8;9.25;;;N1;6;;6;5.2;5.5;51001304;7.8;7.3;7.1;Dat
1296;;;;6;N1;3.2;;;7;;51001305;2;8;5.1;Dat
1297;;;5.5;8.25;N1;8.6;6.5;;8.8;7.5;51001310;6.8;8;8.5;Dat
1299;;;7;5.75;N1;9.2;4;;8.4;7;51001315;5.6;7.5;8.1;Dat
1300;;;4;6;N1;6.4;4;;7.4;7;51001311;4.7;8;7.5;Dat
1301;;;5;3.75;N1;8.8;4;;5;7.25;51001306;4.3;9.7;7.9;Dat
1302;;;6.75;4.75;N1;6.4;8;;7.4;3;51001316;6.5;6.9;6.7;Dat
1303;;;3;3.75;N1;2.8;2.75;;3.2;5.25;51001307;3.2;9.7;6;Dat
1304;6.5;8.75;;;N1;1.8;;4;5.2;5;51001321;6.4;6.4;5.7;Dat
1305;;;5.75;3;N1;6.4;7.25;;8;4.5;51001314;5.3;9.1;7.6;Dat
1306;;;3.75;7;N1;7.8;4.5;;6.8;5.75;51001312;5.1;6.8;7.1;Dat
1307;;;5.5;8;N1;9.8;4.5;;8.6;6.5;51001317;6;8.1;8.4;Dat
1308;;;7;8;N1;5.2;4.5;;7.8;5.25;51001303;6.5;6.8;7;Dat
1309;;;3.75;5.75;N1;8.8;3.75;;9.2;6.25;51001318;4.4;8.9;8.3;Dat
1310;6;8;;;N1;9.6;;6.25;5.4;7;51001308;6.8;6;7.4;Dat
1311;5;8.25;;;N1;4;;4.5;3.4;5.25;51001309;5.9;6.6;5.8;Dat
1312;;;6.5;4.25;N1;8.6;8.25;;8;7.5;51001313;6.3;7.6;8.2;Dat
1314;;;;;N1;8.6;;;7.8;8.5;51001323;0;9.1;7.7;Dat
1316;;;8.75;5;N1;7;6.25;;7.8;6.25;51001325;6.7;8.6;8;Dat
1317;6;7.5;;;N1;3;;4.75;4.4;4.5;51001322;6.1;8;6.2;Dat
1318;;;6.25;8.25;N1;8.6;4.5;;7.2;5;51001324;6.3;6.7;7.4;Dat
1319;;;7.5;5.25;N1;4.2;7.5;;8.6;6.25;51001328;6.8;8.1;7.6;Dat
1320;;;7.75;4;N1;4.4;7.5;;8.4;6.25;51001329;6.4;8.6;7.6;Dat
1322;;;4.75;5.75;N1;5.4;3.75;;5.8;5;51001335;4.8;8.6;6.9;Dat
1323;6.25;7.5;;;N1;7;;6.25;7;8;51001326;6.7;6.7;7.6;Dat
1324;5.5;7.75;;;N1;5.4;;4.25;4.2;5;51001327;5.8;6.9;6.2;Dat
1325;6;7.75;;;N1;3.6;;4;5.4;5.5;51001339;5.9;6.4;6.1;Dat
1326;5.75;6.25;;;N1;4.2;;3.75;4.6;4.83;51001330;5.3;6.8;6;Dat
1327;;;3;7.25;N1;7.2;4;;6.8;5.75;51001332;4.8;7.1;7;Dat
1328;;;5;9;N1;9.4;6.25;;8.8;6.5;51001336;6.8;6.3;8;Dat
1329;5.5;7;;;N1;6.2;;6;4.2;6.5;51001340;6.2;8.1;7.1;Dat
1330;;;8.25;3;N1;5.6;8;;8.4;5.75;51001331;6.4;7.8;7.5;Dat
1331;7;9;;;N1;5.4;;3.5;4.8;5.5;51001334;6.5;7;6.6;Dat
1332;;;5;8;N1;8.4;6;;8.4;6.25;51001338;6.3;8.8;8.4;Dat
1335;;;7;3.5;N1;7.4;7.5;;7.8;5.5;51001337;6;8.7;7.9;Dat
1336;8.25;9;;;N1;5;;5.25;7.6;6.25;51001346;7.5;8.4;7.7;Dat
1338;;;1.75;4.5;N1;2;4.25;;5.6;5;51001350;3.5;9;6.1;Dat
1339;5.75;7.75;;;N1;6.2;;5.25;5.8;5.5;51001345;6.3;9.2;7.5;Dat
1340;;;6.25;8;N1;5.8;5.5;;7;6;51001344;6.6;7.7;7.4;Dat
1341;;;4;7.25;N1;8.4;4.25;;7.4;6.25;51001347;5.2;8.4;7.9;Dat
1342;4.75;8.25;;;N1;3.8;;4.5;2;3.75;51001349;5.8;6.3;5.2;Dat
1344;;;;4.5;N1;3;;;3.4;;51001354;1.5;7.4;4.2;Khong Dat
1345;6;5.25;;;N1;4.8;;4.75;5;5.75;51001348;5.3;8.2;6.7;Dat
1346;;;7;6;N1;8.8;6;;8.4;5;51001352;6.3;6.2;7.4;Dat
1347;4;6.25;;;N1;3;;2.25;4.2;2.75;51001362;4.2;9.4;5.9;Dat
1348;7.5;5.25;;;N1;2.2;;5.75;4.8;5;51001361;6.2;9.1;6.5;Dat
1350;6.75;8.5;;;N1;4.8;;4.75;5.2;5.25;51001351;6.7;6.5;6.4;Dat
1351;9.75;8.25;;;N1;5.4;;8.25;5.8;7.5;51001358;8.8;6.6;7.4;Dat
1352;5.5;7.5;;;N1;4.8;;4;3.6;5.75;51001360;5.7;7.3;6.3;Dat
1353;;;9;5.75;N1;7.4;8.5;;8.2;5.75;51001356;7.8;6.9;7.8;Dat
1354;3.75;5.75;;;N1;2;;3.5;3.2;2.75;51001359;4.3;7.9;5.1;Dat
1355;4.25;6;;;N1;2.8;;2.75;2.8;4.5;51001366;4.3;8.5;5.7;Dat
1356;6.75;8.25;;;N1;4.4;;5.5;4.2;5.25;51001365;6.8;8.9;6.9;Dat
1357;8;8;;;N1;5.4;;6.5;6.4;7.5;51001364;7.5;7.9;7.7;Dat
1360;8.75;7.75;;;N1;6.4;;7.5;7.8;7.5;51001370;8;6.4;7.7;Dat
1361;;;;;N1;8.2;;;8;8;51001375;0;7.6;7.1;Dat
1362;6.25;8.25;;;N1;7.4;;5;8.2;7.5;51001369;6.5;6.5;7.7;Dat
1363;;;4;7.25;N1;5.8;4.75;;7;6.5;51001373;5.3;7.8;7.2;Dat
1364;;;7.5;5.5;N1;6.8;8.25;;8.4;7;51001371;7.1;6.7;7.7;Dat
1365;;;8.25;8;N1;5.2;4.75;;8;5;51001367;7;9.8;8;Dat
1366;;;6;8.25;N1;8;5.75;;9.4;6.25;51001378;6.7;7.8;8.3;Dat
1367;9;8.25;;;N1;4.4;;8.5;7;7;51001372;8.6;6.1;7.2;Dat
1368;8;9;;;N1;9;;5.5;8.6;8;51001374;7.5;9.6;9.3;Dat
1369;;;5.5;7;N1;7.8;5;;8.2;6.25;51001377;5.8;9.7;8.4;Dat
1370;5.25;7.25;;;N1;2.4;;3.25;3.4;6.25;51001379;5.3;9.4;6.5;Dat
1371;;;7.25;4.25;N1;7.6;7;;8;7.75;51001381;6.2;6.4;7.7;Dat
1372;;;6.5;5;N1;7.6;6.5;;8.4;6.25;51001376;6;9.5;8.4;Dat
1373;;;3.5;6.75;N1;8.4;4.75;;7.8;5.75;51001383;5;8.8;8;Dat
1374;;;8.25;7.5;N1;5;3.75;;8.2;5.75;51001382;6.5;9.2;7.8;Dat
1375;8.5;7.75;;;N1;5.6;;5.75;7.4;8.25;51001380;7.3;6.3;7.5;Dat
1376;8.25;8.5;;;N1;7.4;;5.75;7.4;7.5;51001384;7.5;6.1;7.6;Dat
1377;5.25;5;;;N1;2.8;;2.75;3.8;3.75;51001385;4.3;9.6;6;Dat
1378;6.75;7.5;;;N1;5.8;;4;6.2;6.25;51001386;6.1;6.8;6.9;Dat
1380;6;6.75;;;N1;4.6;;4.75;4.8;5;51001387;5.8;9.7;7;Dat
1381;5.5;6.25;;;N1;1.6;;3.25;2.2;6.25;51001389;5;8.3;5.7;Dat
1382;5.25;5.75;;;N1;2.8;;5;3.8;4.75;51001396;5.3;6.9;5.6;Dat
1383;6;6.75;;;N1;4.2;;4;4.2;5.5;51001392;5.6;6;5.8;Dat
1384;7.25;8.25;;;N1;6.6;;5.5;5.4;6.5;51001391;7;9.2;7.8;Dat
1385;6;8.25;;;N1;3.4;;4.5;3.4;5.75;51001398;6.3;9;6.6;Dat
1386;;;7.5;5;N1;8.6;7;;7.6;8;51001390;6.5;7.3;8.2;Dat
1387;;;3.5;7.5;N1;6.8;4.75;;7.2;6.5;51001400;5.3;8;7.5;Dat
1388;;;6.75;3.25;N1;4.4;8;;8.2;4.75;51001393;6;6.8;6.7;Dat
1389;;;5.5;5.75;N1;7.8;4.25;;9;8.5;51001406;5.2;7.8;8.3;Dat
1392;;;3.5;8;N1;9;4.25;;9.4;6.25;51001397;5.3;6.2;7.7;Dat
1393;;;7;4.75;N1;5.4;7;;6.6;6.75;51001402;6.3;8.6;7.6;Dat
1394;8;8;;;N1;5.4;;7.75;4.6;8.25;51001407;7.9;9.3;8;Dat
1395;;;4.75;7.25;N1;8;4;;7;5.75;51001395;5.3;8.4;7.7;Dat
1396;7.75;8;;;N1;9.4;;7;8;7.5;51001401;7.6;6.5;8.2;Dat
