@relation diemthifinal

@attribute sbd numeric
@attribute 'Diem xet tot nghiep' numeric
@attribute 'Dieu kien tot nghiep' {Dat,'Khong Dat'}

@data
51000324,4.8,'Khong Dat'
51000332,7.8,Dat
51000328,7.6,Dat
51000334,6.8,Dat
51000333,7.2,Dat
51000337,6.8,Dat
51000335,7.5,Dat
51000338,7.4,Dat
51000341,6.9,Dat
51000342,8.2,Dat
51000339,6.5,Dat
51000340,6.5,Dat
51000344,8.3,Dat
51000346,6.6,Dat
51000347,7.1,Dat
51000349,8.1,Dat
51000345,7.9,Dat
51000350,7.5,Dat
51000348,7.7,Dat
51000352,5.3,Dat
51000353,7.9,Dat
51000351,5.5,Dat
51000357,7.2,Dat
51000354,6.5,Dat
51000355,7.7,Dat
51000356,7.6,Dat
51000361,7.8,Dat
51000363,7.3,Dat
51000358,7.4,Dat
51000362,6.9,Dat
51000360,8.7,Dat
51000366,6.6,Dat
51000365,7.4,Dat
51000367,8,Dat
51000359,7.2,Dat
51000372,7,Dat
51000370,7.7,Dat
51000371,7.4,Dat
51000376,8,Dat
51000377,7,Dat
51000369,6.4,Dat
51000373,6.9,Dat
51000368,7.4,Dat
51000379,8,Dat
51000378,8,Dat
51000381,6.3,Dat
51000386,7.2,Dat
51000384,7.6,Dat
51000387,5.7,Dat
51000385,7.8,Dat
51000383,4.6,'Khong Dat'
51000391,7.2,Dat
51000390,7.8,Dat
51000392,7.8,Dat
51000393,7,Dat
51000394,6.7,Dat
51000395,7.7,Dat
51000396,6.7,Dat
51000400,7.5,Dat
51000401,6.7,Dat
51000398,7.7,Dat
51000409,6.8,Dat
51000406,7.8,Dat
51000408,7.1,Dat
51000410,7.5,Dat
51000405,8,Dat
51000407,8.9,Dat
51000403,4.7,'Khong Dat'
51000402,7.8,Dat
51000412,5.2,Dat
51000399,7.5,Dat
51000411,6.8,Dat
51000417,8.2,Dat
51000416,7.5,Dat
51000414,6.4,Dat
51000415,8,Dat
51000419,7.5,Dat
51000420,8.2,Dat
51000422,7.2,Dat
51000423,7.2,Dat
51000426,5.5,Dat
51000427,6.2,Dat
51000437,8.3,Dat
51000428,7.6,Dat
51000424,7.1,Dat
51000431,6.7,Dat
51000436,7.2,Dat
51000425,4.7,'Khong Dat'
51000435,8.1,Dat
51000430,7,Dat
51000429,7.7,Dat
51000433,7,Dat
51000441,7.4,Dat
51000432,7.3,Dat
51000434,8.1,Dat
51000439,6.8,Dat
51000438,6.4,Dat
51000443,6.9,Dat
51000446,7.1,Dat
51000447,7.4,Dat
51000442,7.1,Dat
51000445,7.4,Dat
51000450,8,Dat
51000453,6.7,Dat
51000440,7.7,Dat
51000451,7.2,Dat
51000452,8.2,Dat
51000457,7.1,Dat
51000459,5.8,Dat
51000458,8.1,Dat
51000463,7.1,Dat
51000460,7.5,Dat
51000465,7.8,Dat
51000467,8,Dat
51000468,7.2,Dat
51000464,7.6,Dat
51000469,7,Dat
51000471,7,Dat
51000472,7.5,Dat
51000466,8.1,Dat
51000476,7.7,Dat
51000477,6.4,Dat
51000475,6.7,Dat
51000478,7.7,Dat
51000474,8.5,Dat
51000473,7.1,Dat
51000481,7.1,Dat
51000479,6.3,Dat
51000480,6.5,Dat
51000482,7,Dat
51000486,7.9,Dat
51000485,7.3,Dat
51000487,5.8,Dat
51000488,6.9,Dat
51000492,8.1,Dat
51000489,6.6,Dat
51000491,6.2,Dat
51000490,7,Dat
51000496,6.9,Dat
51000494,8.2,Dat
51000495,6.9,Dat
51000498,6.2,Dat
51000493,7.4,Dat
